Team,Stadium,Location,Capacity_raw,Season,Tier,Country,SourceURL,Capacity,City,GeoPlace,MapLabel
Doncaster Rovers,Keepmoat Stadium,Doncaster,15231,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,15231,Doncaster,"Keepmoat Stadium, Doncaster, England",Keepmoat Stadium (Doncaster Rovers) — Doncaster
Fleetwood Town,Highbury Stadium,Fleetwood,5327,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,5327,Fleetwood,"Highbury Stadium, Fleetwood, England",Highbury Stadium (Fleetwood Town) — Fleetwood
Gillingham,Priestfield Stadium,Gillingham,11582,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,11582,Gillingham,"Priestfield Stadium, Gillingham, England",Priestfield Stadium (Gillingham) — Gillingham
Ipswich Town,Portman Road,Ipswich,30311,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,30311,Ipswich,"Portman Road, Ipswich, England",Portman Road (Ipswich Town) — Ipswich
Lincoln City,Sincil Bank,Lincoln,10120,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,10120,Lincoln,"Sincil Bank, Lincoln, England",Sincil Bank (Lincoln City) — Lincoln
Milton Keynes Dons,Stadium MK,Milton Keynes,30500,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,30500,Milton Keynes,"Stadium MK, Milton Keynes, England",Stadium MK (Milton Keynes Dons) — Milton Keynes
Oxford United,Kassam Stadium,Oxford,12500,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,12500,Oxford,"Kassam Stadium, Oxford, England",Kassam Stadium (Oxford United) — Oxford
Peterborough United,London Road Stadium,Peterborough,15314,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,15314,Peterborough,"London Road Stadium, Peterborough, England",London Road Stadium (Peterborough United) — Peterborough
Portsmouth,Fratton Park,Portsmouth,19669,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,19669,Portsmouth,"Fratton Park, Portsmouth, England",Fratton Park (Portsmouth) — Portsmouth
Rochdale,Spotland Stadium,Rochdale,10500,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,10500,Rochdale,"Spotland Stadium, Rochdale, England",Spotland Stadium (Rochdale) — Rochdale
Rotherham United,New York Stadium,Rotherham,12021,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,12021,Rotherham,"New York Stadium, Rotherham, England",New York Stadium (Rotherham United) — Rotherham
Shrewsbury Town,New Meadow,Shrewsbury,9875,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,9875,Shrewsbury,"New Meadow, Shrewsbury, England",New Meadow (Shrewsbury Town) — Shrewsbury
Southend United,Roots Hall,Southend-on-Sea,12392,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,12392,Southend-on-Sea,"Roots Hall, Southend-on-Sea, England",Roots Hall (Southend United) — Southend-on-Sea
Sunderland,Stadium of Light,Sunderland,49000,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,49000,Sunderland,"Stadium of Light, Sunderland, England",Stadium of Light (Sunderland) — Sunderland
Tranmere Rovers,Prenton Park,Birkenhead,16789,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,16789,Birkenhead,"Prenton Park, Birkenhead, England",Prenton Park (Tranmere Rovers) — Birkenhead
Wycombe Wanderers,Adams Park,High Wycombe,10137,2019–20,3,England,https://en.wikipedia.org/wiki/2019–20_EFL_League_One,10137,High Wycombe,"Adams Park, High Wycombe, England",Adams Park (Wycombe Wanderers) — High Wycombe
Accrington Stanley,Crown Ground,Accrington,5057,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,5057,Accrington,"Crown Ground, Accrington, England",Crown Ground (Accrington Stanley) — Accrington
AFC Wimbledon,Plough Lane,London (Wimbledon),9300,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,9300,London (Wimbledon),"Plough Lane, London (Wimbledon), England",Plough Lane (AFC Wimbledon) — London (Wimbledon)
Blackpool,Bloomfield Road,Blackpool,17338,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,17338,Blackpool,"Bloomfield Road, Blackpool, England",Bloomfield Road (Blackpool) — Blackpool
Bristol Rovers,Memorial Stadium,Bristol,12300,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,12300,Bristol,"Memorial Stadium, Bristol, England",Memorial Stadium (Bristol Rovers) — Bristol
Burton Albion,Pirelli Stadium,Burton upon Trent,6912,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,6912,Burton upon Trent,"Pirelli Stadium, Burton upon Trent, England",Pirelli Stadium (Burton Albion) — Burton upon Trent
Charlton Athletic,The Valley,London (Charlton),27111,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,27111,London (Charlton),"The Valley, London (Charlton), England",The Valley (Charlton Athletic) — London (Charlton)
Crewe Alexandra,Gresty Road,Crewe,10180,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,10180,Crewe,"Gresty Road, Crewe, England",Gresty Road (Crewe Alexandra) — Crewe
Doncaster Rovers,Keepmoat Stadium,Doncaster,15231,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,15231,Doncaster,"Keepmoat Stadium, Doncaster, England",Keepmoat Stadium (Doncaster Rovers) — Doncaster
Fleetwood Town,Highbury Stadium,Fleetwood,5327,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,5327,Fleetwood,"Highbury Stadium, Fleetwood, England",Highbury Stadium (Fleetwood Town) — Fleetwood
Gillingham,Priestfield Stadium,Gillingham,11582,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,11582,Gillingham,"Priestfield Stadium, Gillingham, England",Priestfield Stadium (Gillingham) — Gillingham
Hull City,KCOM Stadium,Kingston upon Hull,25586,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,25586,Kingston upon Hull,"KCOM Stadium, Kingston upon Hull, England",KCOM Stadium (Hull City) — Kingston upon Hull
Ipswich Town,Portman Road,Ipswich,30311,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,30311,Ipswich,"Portman Road, Ipswich, England",Portman Road (Ipswich Town) — Ipswich
Lincoln City,LNER Stadium,Lincoln,10120,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,10120,Lincoln,"LNER Stadium, Lincoln, England",LNER Stadium (Lincoln City) — Lincoln
Milton Keynes Dons,Stadium MK,Milton Keynes,30500,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,30500,Milton Keynes,"Stadium MK, Milton Keynes, England",Stadium MK (Milton Keynes Dons) — Milton Keynes
Northampton Town,PTS Academy Stadium,Northampton,7798,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,7798,Northampton,"PTS Academy Stadium, Northampton, England",PTS Academy Stadium (Northampton Town) — Northampton
Oxford United,Kassam Stadium,Oxford,12500,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,12500,Oxford,"Kassam Stadium, Oxford, England",Kassam Stadium (Oxford United) — Oxford
Peterborough United,Weston Homes Stadium,Peterborough,15314,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,15314,Peterborough,"Weston Homes Stadium, Peterborough, England",Weston Homes Stadium (Peterborough United) — Peterborough
Plymouth Argyle,Home Park,Plymouth,17300,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,17300,Plymouth,"Home Park, Plymouth, England",Home Park (Plymouth Argyle) — Plymouth
Portsmouth,Fratton Park,Portsmouth,19669,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,19669,Portsmouth,"Fratton Park, Portsmouth, England",Fratton Park (Portsmouth) — Portsmouth
Rochdale,Crown Oil Arena,Rochdale,10500,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,10500,Rochdale,"Crown Oil Arena, Rochdale, England",Crown Oil Arena (Rochdale) — Rochdale
Shrewsbury Town,Montgomery Waters Meadow,Shrewsbury,9875,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,9875,Shrewsbury,"Montgomery Waters Meadow, Shrewsbury, England",Montgomery Waters Meadow (Shrewsbury Town) — Shrewsbury
Sunderland,Stadium of Light,Sunderland,48707,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,48707,Sunderland,"Stadium of Light, Sunderland, England",Stadium of Light (Sunderland) — Sunderland
Swindon Town,County Ground,Swindon,15728,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,15728,Swindon,"County Ground, Swindon, England",County Ground (Swindon Town) — Swindon
Wigan Athletic,DW Stadium,Wigan,25133,2020–21,3,England,https://en.wikipedia.org/wiki/2020–21_EFL_League_One,25133,Wigan,"DW Stadium, Wigan, England",DW Stadium (Wigan Athletic) — Wigan
Accrington Stanley,Crown Ground,Accrington,5057,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,5057,Accrington,"Crown Ground, Accrington, England",Crown Ground (Accrington Stanley) — Accrington
AFC Wimbledon,Plough Lane,London (Wimbledon),9300,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,9300,London (Wimbledon),"Plough Lane, London (Wimbledon), England",Plough Lane (AFC Wimbledon) — London (Wimbledon)
Bolton Wanderers,University of Bolton Stadium,Horwich,28723,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,28723,Horwich,"University of Bolton Stadium, Horwich, England",University of Bolton Stadium (Bolton Wanderers) — Horwich
Burton Albion,Pirelli Stadium,Burton,6912,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,6912,Burton,"Pirelli Stadium, Burton, England",Pirelli Stadium (Burton Albion) — Burton
Cambridge United,Abbey Stadium,Cambridge,8127,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,8127,Cambridge,"Abbey Stadium, Cambridge, England",Abbey Stadium (Cambridge United) — Cambridge
Charlton Athletic,The Valley,London (Charlton),27111,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,27111,London (Charlton),"The Valley, London (Charlton), England",The Valley (Charlton Athletic) — London (Charlton)
Cheltenham Town,Whaddon Road,Cheltenham,7066,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,7066,Cheltenham,"Whaddon Road, Cheltenham, England",Whaddon Road (Cheltenham Town) — Cheltenham
Crewe Alexandra,Gresty Road,Crewe,10180,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,10180,Crewe,"Gresty Road, Crewe, England",Gresty Road (Crewe Alexandra) — Crewe
Doncaster Rovers,Keepmoat Stadium,Doncaster,15231,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,15231,Doncaster,"Keepmoat Stadium, Doncaster, England",Keepmoat Stadium (Doncaster Rovers) — Doncaster
Fleetwood Town,Highbury Stadium,Fleetwood,5327,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,5327,Fleetwood,"Highbury Stadium, Fleetwood, England",Highbury Stadium (Fleetwood Town) — Fleetwood
Gillingham,Priestfield Stadium,Gillingham,11582,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,11582,Gillingham,"Priestfield Stadium, Gillingham, England",Priestfield Stadium (Gillingham) — Gillingham
Ipswich Town,Portman Road,Ipswich,30311,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,30311,Ipswich,"Portman Road, Ipswich, England",Portman Road (Ipswich Town) — Ipswich
Lincoln City,Sincil Bank,Lincoln,10120,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,10120,Lincoln,"Sincil Bank, Lincoln, England",Sincil Bank (Lincoln City) — Lincoln
Milton Keynes Dons,Stadium MK,Milton Keynes,30500,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,30500,Milton Keynes,"Stadium MK, Milton Keynes, England",Stadium MK (Milton Keynes Dons) — Milton Keynes
Morecambe,Globe Arena,Morecambe,6476,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,6476,Morecambe,"Globe Arena, Morecambe, England",Globe Arena (Morecambe) — Morecambe
Oxford United,Kassam Stadium,Oxford,12500,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,12500,Oxford,"Kassam Stadium, Oxford, England",Kassam Stadium (Oxford United) — Oxford
Plymouth Argyle,Home Park,Plymouth,17300,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,17300,Plymouth,"Home Park, Plymouth, England",Home Park (Plymouth Argyle) — Plymouth
Portsmouth,Fratton Park,Portsmouth,19669,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,19669,Portsmouth,"Fratton Park, Portsmouth, England",Fratton Park (Portsmouth) — Portsmouth
Rotherham United,New York Stadium,Rotherham,12021,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,12021,Rotherham,"New York Stadium, Rotherham, England",New York Stadium (Rotherham United) — Rotherham
Sheffield Wednesday,Hillsborough Stadium,Sheffield,39732,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,39732,Sheffield,"Hillsborough Stadium, Sheffield, England",Hillsborough Stadium (Sheffield Wednesday) — Sheffield
Shrewsbury Town,New Meadow,Shrewsbury,9875,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,9875,Shrewsbury,"New Meadow, Shrewsbury, England",New Meadow (Shrewsbury Town) — Shrewsbury
Sunderland,Stadium of Light,Sunderland,49000,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,49000,Sunderland,"Stadium of Light, Sunderland, England",Stadium of Light (Sunderland) — Sunderland
Wigan Athletic,DW Stadium,Wigan,25133,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,25133,Wigan,"DW Stadium, Wigan, England",DW Stadium (Wigan Athletic) — Wigan
Wycombe Wanderers,Adams Park,High Wycombe,9448,2021–22,3,England,https://en.wikipedia.org/wiki/2021–22_EFL_League_One,9448,High Wycombe,"Adams Park, High Wycombe, England",Adams Park (Wycombe Wanderers) — High Wycombe
Accrington Stanley,Crown Ground,Accrington,5450,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,5450,Accrington,"Crown Ground, Accrington, England",Crown Ground (Accrington Stanley) — Accrington
Barnsley,Oakwell,Barnsley,23287,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,23287,Barnsley,"Oakwell, Barnsley, England",Oakwell (Barnsley) — Barnsley
Bolton Wanderers,University of Bolton Stadium,Horwich,28723,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,28723,Horwich,"University of Bolton Stadium, Horwich, England",University of Bolton Stadium (Bolton Wanderers) — Horwich
Bristol Rovers,Memorial Stadium,Bristol,9832,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,9832,Bristol,"Memorial Stadium, Bristol, England",Memorial Stadium (Bristol Rovers) — Bristol
Burton Albion,Pirelli Stadium,Burton upon Trent,6912,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,6912,Burton upon Trent,"Pirelli Stadium, Burton upon Trent, England",Pirelli Stadium (Burton Albion) — Burton upon Trent
Cambridge United,Abbey Stadium,Cambridge,8127,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,8127,Cambridge,"Abbey Stadium, Cambridge, England",Abbey Stadium (Cambridge United) — Cambridge
Charlton Athletic,The Valley,London (Charlton),27111,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,27111,London (Charlton),"The Valley, London (Charlton), England",The Valley (Charlton Athletic) — London (Charlton)
Cheltenham Town,Whaddon Road,Cheltenham,7066,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,7066,Cheltenham,"Whaddon Road, Cheltenham, England",Whaddon Road (Cheltenham Town) — Cheltenham
Derby County,Pride Park Stadium,Derby,32956,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,32956,Derby,"Pride Park Stadium, Derby, England",Pride Park Stadium (Derby County) — Derby
Exeter City,St. James Park,Exeter,8720,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,8720,Exeter,"St. James Park, Exeter, England",St. James Park (Exeter City) — Exeter
Fleetwood Town,Highbury Stadium,Fleetwood,5327,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,5327,Fleetwood,"Highbury Stadium, Fleetwood, England",Highbury Stadium (Fleetwood Town) — Fleetwood
Forest Green Rovers,The New Lawn,Nailsworth,5147,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,5147,Nailsworth,"The New Lawn, Nailsworth, England",The New Lawn (Forest Green Rovers) — Nailsworth
Ipswich Town,Portman Road,Ipswich,30311,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,30311,Ipswich,"Portman Road, Ipswich, England",Portman Road (Ipswich Town) — Ipswich
Lincoln City,Sincil Bank,Lincoln,10780,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,10780,Lincoln,"Sincil Bank, Lincoln, England",Sincil Bank (Lincoln City) — Lincoln
Milton Keynes Dons,Stadium MK,Milton Keynes,30500,2022–23,3,England,https://en.wikipedia.org/wiki/2022–23_EFL_League_One,30500,Milton Keynes,"Stadium MK, Milton Keynes, England",Stadium MK (Milton Keynes Dons) — Milton Keynes
