Player,Season,Age,Nation,Team,Comp,Pos,PKatt,PK,PKm,Conversion%,conversion_rate
Dean Whitehead,2005-2006,23.0,eng ENG,Sunderland,EPL,"DF,MF",2.0,2.0,0.0,100.0,1.0
David Unsworth,2004-2005,30.0,eng ENG,Portsmouth,EPL,DF,2.0,2.0,0.0,100.0,1.0
David Unsworth,1995-1996,21.0,eng ENG,Everton,EPL,DF,2.0,2.0,0.0,100.0,1.0
David Platt,1997-1998,31.0,eng ENG,Arsenal,EPL,MF,2.0,2.0,0.0,100.0,1.0
David Dunn,2009-2010,29.0,eng ENG,Blackburn,EPL,MF,2.0,2.0,0.0,100.0,1.0
Darren Bent,2011-2012,27.0,eng ENG,Aston Villa,EPL,FW,2.0,2.0,0.0,100.0,1.0
Darren Anderton,1998-1999,26.0,eng ENG,Tottenham,EPL,MF,2.0,2.0,0.0,100.0,1.0
Danny Murphy,2002-2003,25.0,eng ENG,Liverpool,EPL,MF,2.0,2.0,0.0,100.0,1.0
Danny Murphy,2011-2012,34.0,eng ENG,Fulham,EPL,MF,2.0,2.0,0.0,100.0,1.0
Danny Ings,2020-2021,28.0,eng ENG,Southampton,EPL,FW,2.0,2.0,0.0,100.0,1.0
Danny Ings,2022-2023,30.0,eng ENG,2 Teams,EPL,FW,2.0,2.0,0.0,100.0,1.0
Craig Hignett,1995-1996,25.0,eng ENG,Middlesbrough,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Craig Bellamy,2000-2001,21.0,wls WAL,Coventry City,EPL,FW,2.0,2.0,0.0,100.0,1.0
Clive Wilson,1992-1993,30.0,eng ENG,QPR,EPL,DF,2.0,2.0,0.0,100.0,1.0
Chris Wood,2020-2021,28.0,nz NZL,Burnley,EPL,FW,2.0,2.0,0.0,100.0,1.0
Chris Sutton,1997-1998,24.0,eng ENG,Blackburn,EPL,"DF,FW",2.0,2.0,0.0,100.0,1.0
Chris Sutton,1998-1999,25.0,eng ENG,Blackburn,EPL,"DF,FW",2.0,2.0,0.0,100.0,1.0
Charlie Daniels,2015-2016,28.0,eng ENG,Bournemouth,EPL,"DF,MF",2.0,2.0,0.0,100.0,1.0
Charlie Austin,2016-2017,27.0,eng ENG,Southampton,EPL,FW,2.0,2.0,0.0,100.0,1.0
Cesc Fàbregas,2015-2016,28.0,es ESP,Chelsea,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Carlos Tevez,2012-2013,28.0,ar ARG,Manchester City,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Callum Wilson,2023-2024,31.0,eng ENG,Newcastle Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Callum Wilson,2021-2022,29.0,eng ENG,Newcastle Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Bukayo Saka,2021-2022,19.0,eng ENG,Arsenal,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Bruno Fernandes,2022-2023,27.0,pt POR,Manchester Utd,EPL,"MF,FW",2.0,2.0,0.0,100.0,1.0
Bojan Krkić,2015-2016,24.0,es ESP,Stoke City,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Billy Sharp,2020-2021,34.0,eng ENG,Sheffield Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Ben Watson,2010-2011,25.0,eng ENG,Wigan Athletic,EPL,MF,2.0,2.0,0.0,100.0,1.0
Ashley Barnes,2018-2019,28.0,eng ENG,Burnley,EPL,FW,2.0,2.0,0.0,100.0,1.0
Ashley Barnes,2016-2017,26.0,eng ENG,Burnley,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Andy Hinchcliffe,1995-1996,26.0,eng ENG,Everton,EPL,DF,2.0,2.0,0.0,100.0,1.0
Andre Gray,2016-2017,25.0,jm JAM,Burnley,EPL,FW,2.0,2.0,0.0,100.0,1.0
Alexandre Lacazette,2017-2018,26.0,fr FRA,Arsenal,EPL,FW,2.0,2.0,0.0,100.0,1.0
Alexander Isak,2024-2025,24.0,se SWE,Newcastle Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Alexander Isak,2022-2023,22.0,se SWE,Newcastle Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Alen Bokšić,2000-2001,30.0,hr CRO,Middlesbrough,EPL,FW,2.0,2.0,0.0,100.0,1.0
Alen Bokšić,2001-2002,31.0,hr CRO,Middlesbrough,EPL,FW,2.0,2.0,0.0,100.0,1.0
Aleksandar Mitrović,2015-2016,20.0,rs SRB,Newcastle Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Álvaro Negredo,2016-2017,30.0,es ESP,Middlesbrough,EPL,FW,2.0,2.0,0.0,100.0,1.0
Ruud van Nistelrooy,1999-2000,23.0,nl NED,PSV,CL,,2.0,2.0,0.0,100.0,1.0
Stefan Effenberg,1999-2000,30.0,de GER,Bayern Munich,CL,,2.0,2.0,0.0,100.0,1.0
Gaizka Mendieta,1999-2000,25.0,es ESP,Valencia,CL,,2.0,2.0,0.0,100.0,1.0
Angelos Basinas,2000-2001,24.0,gr GRE,Panathinaikos,CL,,2.0,2.0,0.0,100.0,1.0
Denis Irwin,2000-2001,34.0,ie IRL,Manchester Utd,CL,,2.0,2.0,0.0,100.0,1.0
Ümit Davala,2000-2001,27.0,tr TUR,Galatasaray,CL,,2.0,2.0,0.0,100.0,1.0
Henrik Larsson,2001-2002,29.0,se SWE,Celtic,CL,,2.0,2.0,0.0,100.0,1.0
Thierry Henry,2001-2002,23.0,fr FRA,Arsenal,CL,,2.0,2.0,0.0,100.0,1.0
Luís Figo,2001-2002,28.0,pt POR,Real Madrid,CL,,2.0,2.0,0.0,100.0,1.0
Alan Shearer,2002-2003,31.0,eng ENG,Newcastle Utd,CL,,2.0,2.0,0.0,100.0,1.0
Bernd Schneider,2002-2003,28.0,de GER,Leverkusen,CL,,2.0,2.0,0.0,100.0,1.0
Yakubu Aiyegbeni,2002-2003,19.0,ng NGA,Maccabi Haifa,CL,,2.0,2.0,0.0,100.0,1.0
Juninho Pernambucano,2003-2004,28.0,br BRA,Lyon,CL,,2.0,2.0,0.0,100.0,1.0
Daniel Pancu,2003-2004,25.0,ro ROU,Beşiktaş,CL,,2.0,2.0,0.0,100.0,1.0
Roy Makaay,2004-2005,29.0,nl NED,Bayern Munich,CL,,2.0,2.0,0.0,100.0,1.0
Valérien Ismaël,2004-2005,28.0,fr FRA,Werder Bremen,CL,,2.0,2.0,0.0,100.0,1.0
Baruch Dego,2004-2005,22.0,il ISR,Maccabi Tel Aviv,CL,,2.0,2.0,0.0,100.0,1.0
Robert Pirès,2005-2006,31.0,fr FRA,Arsenal,CL,,2.0,2.0,0.0,100.0,1.0
Vincenzo Iaquinta,2005-2006,25.0,it ITA,Udinese,CL,,2.0,2.0,0.0,100.0,1.0
Alex,2005-2006,27.0,br BRA,Fenerbahçe,CL,,2.0,2.0,0.0,100.0,1.0
Levan Kobiashvili,2005-2006,28.0,ge GEO,Schalke 04,CL,,2.0,2.0,0.0,100.0,1.0
Ruud van Nistelrooy,2006-2007,30.0,nl NED,Real Madrid,CL,,2.0,2.0,0.0,100.0,1.0
Lucho González,2007-2008,26.0,ar ARG,Porto,CL,,2.0,2.0,0.0,100.0,1.0
Ronaldinho,2009-2010,29.0,br BRA,Milan,CL,,2.0,2.0,0.0,100.0,1.0
Cesc Fàbregas,2010-2011,23.0,es ESP,Arsenal,CL,,2.0,2.0,0.0,100.0,1.0
Christian Noboa,2010-2011,25.0,ec ECU,Rubin Kazan,CL,,2.0,2.0,0.0,100.0,1.0
Francesco Totti,2010-2011,33.0,it ITA,Roma,CL,,2.0,2.0,0.0,100.0,1.0
Roman Pavlyuchenko,2010-2011,28.0,ru RUS,Tottenham,CL,,2.0,2.0,0.0,100.0,1.0
Frank Lampard,2011-2012,33.0,eng ENG,Chelsea,CL,,2.0,2.0,0.0,100.0,1.0
Zlatan Ibrahimović,2011-2012,29.0,se SWE,Milan,CL,,2.0,2.0,0.0,100.0,1.0
Alexander Frei,2011-2012,32.0,ch SUI,Basel,CL,,2.0,2.0,0.0,100.0,1.0
Cristiano Ronaldo,2011-2012,26.0,pt POR,Real Madrid,CL,,2.0,2.0,0.0,100.0,1.0
Wayne Rooney,2011-2012,25.0,eng ENG,Manchester Utd,CL,,2.0,2.0,0.0,100.0,1.0
Roberto Soldado,2012-2013,27.0,es ESP,Valencia,CL,,2.0,2.0,0.0,100.0,1.0
Younès Belhanda,2012-2013,22.0,ma MAR,Montpellier,CL,,2.0,2.0,0.0,100.0,1.0
Sergio Agüero,2013-2014,25.0,ar ARG,Manchester City,CL,,2.0,2.0,0.0,100.0,1.0
Lionel Messi,2013-2014,26.0,ar ARG,Barcelona,CL,,2.0,2.0,0.0,100.0,1.0
Nani,2014-2015,27.0,pt POR,Sporting CP,CL,,2.0,2.0,0.0,100.0,1.0
Éver Banega,2015-2016,27.0,ar ARG,Sevilla,CL,,2.0,2.0,0.0,100.0,1.0
André Silva,2016-2017,20.0,pt POR,Porto,CL,,2.0,2.0,0.0,100.0,1.0
Eduardo Salvio,2016-2017,26.0,ar ARG,Benfica,CL,,2.0,2.0,0.0,100.0,1.0
Ricardo Quaresma,2016-2017,32.0,pt POR,Beşiktaş,CL,,2.0,2.0,0.0,100.0,1.0
Riyad Mahrez,2016-2017,25.0,dz ALG,Leicester City,CL,,2.0,2.0,0.0,100.0,1.0
Lionel Messi,2016-2017,29.0,ar ARG,Barcelona,CL,,2.0,2.0,0.0,100.0,1.0
Wissam Ben Yedder,2017-2018,26.0,fr FRA,Sevilla,CL,,2.0,2.0,0.0,100.0,1.0
Moussa Marega,2018-2019,27.0,ml MLI,Porto,CL,,2.0,2.0,0.0,100.0,1.0
Dušan Tadić,2018-2019,29.0,rs SRB,Ajax,CL,,2.0,2.0,0.0,100.0,1.0
James Milner,2018-2019,32.0,eng ENG,Liverpool,CL,,2.0,2.0,0.0,100.0,1.0
Robert Lewandowski,2018-2019,29.0,pl POL,Bayern Munich,CL,,2.0,2.0,0.0,100.0,1.0
Nikola Vlašić,2018-2019,20.0,hr CRO,CSKA Moscow,CL,,2.0,2.0,0.0,100.0,1.0
Miralem Pjanić,2018-2019,28.0,ba BIH,Juventus,CL,,2.0,2.0,0.0,100.0,1.0
Gabriel Jesus,2018-2019,21.0,br BRA,Manchester City,CL,,2.0,2.0,0.0,100.0,1.0
Guillaume Hoarau,2018-2019,34.0,fr FRA,Young Boys,CL,,2.0,2.0,0.0,100.0,1.0
Mohamed Salah,2018-2019,26.0,eg EGY,Liverpool,CL,,2.0,2.0,0.0,100.0,1.0
Erling Haaland,2019-2020,19.0,no NOR,2 Teams,CL,,2.0,2.0,0.0,100.0,1.0
Harry Kane,2019-2020,26.0,eng ENG,Tottenham,CL,,2.0,2.0,0.0,100.0,1.0
Jorginho,2019-2020,27.0,it ITA,Chelsea,CL,,2.0,2.0,0.0,100.0,1.0
Timo Werner,2019-2020,23.0,de GER,RB Leipzig,CL,,2.0,2.0,0.0,100.0,1.0
Dries Mertens,2019-2020,32.0,be BEL,Napoli,CL,,2.0,2.0,0.0,100.0,1.0
João Félix,2019-2020,19.0,pt POR,Atlético Madrid,CL,,2.0,2.0,0.0,100.0,1.0
Robert Lewandowski,2019-2020,30.0,pl POL,Bayern Munich,CL,,2.0,2.0,0.0,100.0,1.0
Memphis,2019-2020,25.0,nl NED,Lyon,CL,,2.0,2.0,0.0,100.0,1.0
Emil Forsberg,2019-2020,27.0,se SWE,RB Leipzig,CL,,2.0,2.0,0.0,100.0,1.0
Hans Vanaken,2020-2021,27.0,be BEL,Club Brugge,CL,,2.0,2.0,0.0,100.0,1.0
Kylian Mbappé,2020-2021,21.0,fr FRA,Paris S-G,CL,,2.0,2.0,0.0,100.0,1.0
Bruno Fernandes,2020-2021,25.0,pt POR,Manchester Utd,CL,,2.0,2.0,0.0,100.0,1.0
Anton Miranchuk,2020-2021,24.0,ru RUS,Loko Moscow,CL,,2.0,2.0,0.0,100.0,1.0
Robert Lewandowski,2020-2021,31.0,pl POL,Bayern Munich,CL,,2.0,2.0,0.0,100.0,1.0
Cristiano Ronaldo,2020-2021,35.0,pt POR,Juventus,CL,,2.0,2.0,0.0,100.0,1.0
Marco Reus,2021-2022,32.0,de GER,Dortmund,CL,,2.0,2.0,0.0,100.0,1.0
Jorginho,2021-2022,29.0,it ITA,Chelsea,CL,,2.0,2.0,0.0,100.0,1.0
Riyad Mahrez,2021-2022,30.0,dz ALG,Manchester City,CL,,2.0,2.0,0.0,100.0,1.0
Ivan Rakitić,2021-2022,33.0,hr CRO,Sevilla,CL,,2.0,2.0,0.0,100.0,1.0
Paulo Dybala,2021-2022,27.0,ar ARG,Juventus,CL,,2.0,2.0,0.0,100.0,1.0
Mehdi Taremi,2022-2023,30.0,ir IRN,Porto,CL,,2.0,2.0,0.0,100.0,1.0
Rodrygo,2022-2023,21.0,br BRA,Real Madrid,CL,,2.0,2.0,0.0,100.0,1.0
Erling Haaland,2023-2024,23.0,no NOR,Manchester City,CL,,2.0,2.0,0.0,100.0,1.0
Luuk de Jong,2023-2024,32.0,nl NED,PSV Eindhoven,CL,,2.0,2.0,0.0,100.0,1.0
Viktor Gy�keres,2024-2025,26.0,se�SWE,Sporting CP,CL,,2.0,2.0,0.0,100.0,1.0
Emre Can,2024-2025,30.0,de�GER,Dortmund,CL,,2.0,2.0,0.0,100.0,1.0
Hakan �alhano?lu,2024-2025,30.0,tr�TUR,Inter,CL,,2.0,2.0,0.0,100.0,1.0
Jonathan David,2024-2025,24.0,ca�CAN,Lille,CL,,2.0,2.0,0.0,100.0,1.0
Vangelis Pavlidis,2024-2025,25.0,gr�GRE,Benfica,CL,,2.0,2.0,0.0,100.0,1.0
Apoño,2010-2011,26.0,es ESP,Málaga,La Liga,MF,4.0,2.0,2.0,50.0,0.5
Roger Martí,2020-2021,29.0,es ESP,Levante,La Liga,FW,4.0,2.0,2.0,50.0,0.5
Joselu,2020-2021,30.0,es ESP,Alavés,La Liga,FW,4.0,2.0,2.0,50.0,0.5
Catanha,2001-2002,29.0,es ESP,Celta Vigo,La Liga,FW,4.0,2.0,2.0,50.0,0.5
Daniel Parejo,2022-2023,33.0,es ESP,Villarreal,La Liga,MF,4.0,2.0,2.0,50.0,0.5
José Barkero,2012-2013,33.0,es ESP,Levante,La Liga,MF,4.0,2.0,2.0,50.0,0.5
Raúl García,2018-2019,32.0,es ESP,Athletic Club,La Liga,"MF,FW",4.0,2.0,2.0,50.0,0.5
Fernando Torres,2002-2003,18.0,es ESP,Atlético Madrid,La Liga,FW,4.0,2.0,2.0,50.0,0.5
Lionel Messi,2017-2018,30.0,ar ARG,Barcelona,La Liga,FW,4.0,2.0,2.0,50.0,0.5
Giovani Lo Celso,2018-2019,22.0,ar ARG,Betis,La Liga,"MF,FW",4.0,2.0,2.0,50.0,0.5
Enes Ünal,2021-2022,24.0,tr TUR,Getafe,La Liga,FW,4.0,2.0,2.0,50.0,0.5
Mikel San José,2010-2011,21.0,es ESP,Athletic Club,La Liga,"DF,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Víctor,2007-2008,33.0,es ESP,Valladolid,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Rubén Alcaraz,2022-2023,31.0,es ESP,Cádiz,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Samuel Eto'o,2008-2009,27.0,cm CMR,Barcelona,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Sergio Ramos,2017-2018,31.0,es ESP,Real Madrid,La Liga,DF,3.0,2.0,1.0,66.67,0.6666666666666666
Vedat Muriqi,2024-2025,30.0,xk KVX,Mallorca,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Álvaro Morata,2019-2020,26.0,es ESP,Atlético Madrid,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Frédéric Kanouté,2008-2009,30.0,ml MLI,Sevilla,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Djalminha,1999-2000,28.0,br BRA,La Coruña,La Liga,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Alfonso Pérez,2002-2003,29.0,es ESP,Betis,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Ezequiel Ávila,2022-2023,28.0,ar ARG,Osasuna,La Liga,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Aritz Aduriz,2013-2014,32.0,es ESP,Athletic Club,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Joan Jordán,2024-2025,30.0,es ESP,Alavés,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Pablo Orbaiz,2005-2006,26.0,es ESP,Athletic Club,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Nabil El Zhar,2013-2014,26.0,ma MAR,Levante,La Liga,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Esteban Burgos,2020-2021,28.0,ar ARG,Eibar,La Liga,DF,3.0,2.0,1.0,66.67,0.6666666666666666
Francisco Puñal,2007-2008,31.0,es ESP,Osasuna,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Aldo Duscher,2007-2008,28.0,ar ARG,Racing Sant,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Joaquín,2019-2020,38.0,es ESP,Betis,La Liga,"MF,FW",3.0,2.0,1.0,66.67,0.6666666666666666
Roberto Trashorras,2015-2016,34.0,es ESP,Rayo Vallecano,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Edinson Cavani,2022-2023,35.0,uy URU,Valencia,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Meho Kodro,1999-2000,32.0,ba BIH,Alavés,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Mason Greenwood,2023-2024,21.0,eng ENG,Getafe,La Liga,"MF,FW",3.0,2.0,1.0,66.67,0.6666666666666666
Joan Verdú,2008-2009,25.0,es ESP,La Coruña,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Álvaro Negredo,2021-2022,35.0,es ESP,Cádiz,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Zinédine Zidane,2005-2006,33.0,fr FRA,Real Madrid,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Gastón Casas,2001-2002,23.0,ar ARG,Betis,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Fábio Aurélio,2002-2003,22.0,br BRA,Valencia,La Liga,"DF,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Alberto Rivera,2004-2005,26.0,es ESP,Levante,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Luis García,2004-2005,23.0,es ESP,Mallorca,La Liga,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Vinicius Júnior,2024-2025,24.0,br BRA,Real Madrid,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Edu,2007-2008,28.0,br BRA,Betis,La Liga,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Rubén de la Red,2007-2008,22.0,es ESP,Getafe,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Salva Sevilla,2019-2020,35.0,es ESP,Mallorca,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Iago Aspas,2022-2023,34.0,es ESP,Celta Vigo,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Iago Aspas,2017-2018,29.0,es ESP,Celta Vigo,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
David Trezeguet,2010-2011,32.0,fr FRA,Hércules,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Ruud van Nistelrooy,2006-2007,30.0,nl NED,Real Madrid,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Gerard Moreno,2023-2024,31.0,es ESP,Villarreal,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Fernando Llorente,2008-2009,23.0,es ESP,Athletic Club,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Francisco Yeste,2006-2007,26.0,es ESP,Athletic Club,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Mikel Oyarzabal,2022-2023,25.0,es ESP,Real Sociedad,La Liga,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Chory Castro,2010-2011,25.0,uy URU,Mallorca,La Liga,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Antonio Pacheco,2004-2005,28.0,uy URU,Albacete,La Liga,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Alberto Bueno,2014-2015,26.0,es ESP,Rayo Vallecano,La Liga,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Diego Costa,2019-2020,30.0,es ESP,Atlético Madrid,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Luis Suárez,2021-2022,34.0,uy URU,Atlético Madrid,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Sergio Canales,2020-2021,29.0,es ESP,Betis,La Liga,"MF,FW",3.0,2.0,1.0,66.67,0.6666666666666666
Paco Alcácer,2015-2016,21.0,es ESP,Valencia,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Juan Esnáider,2000-2001,27.0,ar ARG,Zaragoza,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Marcos Senna,2011-2012,35.0,es ESP,Villarreal,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Mikel Vesga,2022-2023,29.0,es ESP,Athletic Club,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Raúl García,2020-2021,34.0,es ESP,Athletic Club,La Liga,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Celso Borges,2016-2017,28.0,cr CRC,La Coruña,La Liga,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Javad Nekounam,2009-2010,28.0,ir IRN,Osasuna,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Rafa Mir,2020-2021,23.0,es ESP,Huesca,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Raúl Tamudo,2007-2008,29.0,es ESP,Espanyol,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Valeri Karpin,1999-2000,30.0,ru RUS,Celta Vigo,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Bolo,2000-2001,26.0,es ESP,Rayo Vallecano,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Xabi Prieto,2006-2007,22.0,es ESP,Real Sociedad,La Liga,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Giovani Lo Celso,2024-2025,28.0,ar ARG,Betis,La Liga,"MF,FW",3.0,2.0,1.0,66.67,0.6666666666666666
Aitor Larrazábal,2002-2003,31.0,es ESP,Athletic Club,La Liga,DF,3.0,2.0,1.0,66.67,0.6666666666666666
Santi Cazorla,2018-2019,33.0,es ESP,Villarreal,La Liga,"MF,FW",3.0,2.0,1.0,66.67,0.6666666666666666
Diego Tristán,2001-2002,25.0,es ESP,La Coruña,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Fábio Silva,2024-2025,22.0,pt POR,Las Palmas,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Luís Fabiano,2006-2007,25.0,br BRA,Sevilla,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Gabriel Amato,2001-2002,30.0,ar ARG,Betis,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Riga Mustapha,2007-2008,25.0,nl NED,Levante,La Liga,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Fidel,2020-2021,30.0,es ESP,Elche,La Liga,"MF,DF",3.0,2.0,1.0,66.67,0.6666666666666666
Florent Sinama Pongolle,2006-2007,21.0,fr FRA,Recreativo,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Enes Ünal,2019-2020,22.0,tr TUR,Valladolid,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Giuseppe Rossi,2008-2009,21.0,it ITA,Villarreal,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Giuseppe Rossi,2011-2012,24.0,it ITA,Villarreal,La Liga,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Víctor,2000-2001,26.0,es ESP,Villarreal,La Liga,FW,2.0,2.0,0.0,100.0,1.0
Víctor,2008-2009,34.0,es ESP,Valladolid,La Liga,FW,2.0,2.0,0.0,100.0,1.0
Ewerthon,2009-2010,28.0,br BRA,Zaragoza,La Liga,FW,2.0,2.0,0.0,100.0,1.0
Rubén Alcaraz,2023-2024,32.0,es ESP,Cádiz,La Liga,MF,2.0,2.0,0.0,100.0,1.0
Samuel Eto'o,2001-2002,20.0,cm CMR,Mallorca,La Liga,FW,2.0,2.0,0.0,100.0,1.0
Gerardo,2005-2006,30.0,es ESP,Málaga,La Liga,"DF,MF",2.0,2.0,0.0,100.0,1.0
Sergio Ramos,2020-2021,34.0,es ESP,Real Madrid,La Liga,DF,2.0,2.0,0.0,100.0,1.0
Roger Martí,2018-2019,27.0,es ESP,Levante,La Liga,FW,2.0,2.0,0.0,100.0,1.0
Nacho González,2000-2001,28.0,ar ARG,Las Palmas,La Liga,GK,2.0,2.0,0.0,100.0,1.0
Vedat Muriqi,2021-2022,27.0,xk KVX,Mallorca,La Liga,FW,2.0,2.0,0.0,100.0,1.0
Borja Valero,2009-2010,24.0,es ESP,Mallorca,La Liga,MF,2.0,2.0,0.0,100.0,1.0
Manu del Moral,2010-2011,26.0,es ESP,Getafe,La Liga,FW,2.0,2.0,0.0,100.0,1.0
Manu del Moral,2008-2009,24.0,es ESP,Getafe,La Liga,FW,2.0,2.0,0.0,100.0,1.0
Darko Kovačević,2001-2002,27.0,rs SRB,Real Sociedad,La Liga,FW,2.0,2.0,0.0,100.0,1.0
Samuel Sáiz,2022-2023,31.0,es ESP,Girona,La Liga,MF,2.0,2.0,0.0,100.0,1.0
Julián Álvarez,2024-2025,24.0,ar ARG,Atlético Madrid,La Liga,"FW,MF",2.0,2.0,0.0,100.0,1.0
Julio Dely Valdés,2001-2002,34.0,pa PAN,Málaga,La Liga,FW,2.0,2.0,0.0,100.0,1.0
Óscar Rodríguez Arnaiz,2019-2020,21.0,es ESP,Leganés,La Liga,"MF,FW",2.0,2.0,0.0,100.0,1.0
Frédéric Kanouté,2009-2010,31.0,ml MLI,Sevilla,La Liga,FW,2.0,2.0,0.0,100.0,1.0
José María Movilla,2000-2001,25.0,es ESP,Málaga,La Liga,MF,2.0,2.0,0.0,100.0,1.0
Vicente Engonga,2001-2002,35.0,es ESP,Mallorca,La Liga,MF,2.0,2.0,0.0,100.0,1.0
Darío Silva,2001-2002,28.0,uy URU,Málaga,La Liga,FW,2.0,2.0,0.0,100.0,1.0
Cristhian Stuani,2014-2015,27.0,uy URU,Espanyol,La Liga,"FW,MF",2.0,2.0,0.0,100.0,1.0
Adrián Colunga,2010-2011,25.0,es ESP,Getafe,La Liga,"FW,MF",2.0,2.0,0.0,100.0,1.0
Alfonso Pérez,2003-2004,30.0,es ESP,Betis,La Liga,FW,2.0,2.0,0.0,100.0,1.0
Esteban Fuertes,2001-2002,28.0,ar ARG,Tenerife,La Liga,FW,2.0,2.0,0.0,100.0,1.0
Fernando Baiano,2007-2008,28.0,br BRA,Real Murcia,La Liga,FW,2.0,2.0,0.0,100.0,1.0
Nenê,2006-2007,25.0,br BRA,Celta Vigo,La Liga,"FW,MF",2.0,2.0,0.0,100.0,1.0
Nenê,2008-2009,27.0,br BRA,Espanyol,La Liga,"FW,MF",2.0,2.0,0.0,100.0,1.0
Luciano Galletti,2006-2007,26.0,ar ARG,Atlético Madrid,La Liga,MF,2.0,2.0,0.0,100.0,1.0
